#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-06-13T08:16:57 [V1.97 (28-Nov-2012)]
#   In case of problem. please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ51b97f734b13	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ._DEJ
#-sort=_r
#-nav=cat:II/237&tab:{II/237/colors}&cat:II/66&key:source=Ducati&HTTPPRM:&&-ref=VIZ51b97f734b13&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ._DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=II/237/colors
#-order=I
#-out=recno
#-out=Name
#-out=Doub
#-out=Var
#-out=r_SpType
#-out=SpType
#-out=RAJ1950
#-out=DEJ1950
#-out=Vmag
#-out=U-V
#-out=B-V
#-out=R-V
#-out=I-V
#-out=_RA.icrs
#-out=_DE.icrs
#Simbad=Simbad
#
#
#RESOURCE=yCat_2237
#Name: II/237
#Title: Stellar Photometry in Johnson's 11-color system (Ducati. 2002)
#Coosys	J1950:	eq_FK5 J1950
#Table	II_237_colors:
#Name: II/237/colors
#Title: Photometric data in the UBVRIJHKLMN colors
#Column	_RAJ2000	(A10)	Right ascension (FK5. Equinox=J2000.0) (computed by VizieR. not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A9)	Declination (FK5. Equinox=J2000.0) (computed by VizieR. not part of the original data)	[ucd=pos.eq.dec]
#Column	recno	(I8)	Record number within the original table (starting from 1)	[ucd=meta.record]
#Column	Name	(a12)	star identification	[ucd=meta.id]
#Column	Doub	(A1)	[D13] D if double. 1 for component 1 of the system 3 for component 3 of the system	[ucd=meta.code.multip]
#Column	Var	(A1)	[V] V if variable	[ucd=meta.code;src.var]
#Column	r_SpType	(A1)	[MCYBK FGHPSTW] Source of spectral type (1)	[ucd=meta.ref;pos.frame]
#Column	SpType	(a15)	Spectral type/luminosity class	[ucd=src.spType]
#Column	RAJ1950	(A10)	Right ascension J1950	[ucd=pos.eq.ra;meta.main]
#Column	DEJ1950	(A9)	Declination J1950	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	U-V	(F5.2)	? (U-V) color index	[ucd=phot.color;em.opt.U;em.opt.V]
#Column	B-V	(F5.2)	? (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	R-V	(F5.2)	? (R-V) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	I-V	(F6.2)	? (I-V) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR. not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR. not part of the original data)	[ucd=pos.eq.dec]                                                                                          
#Column Bad Phot *      * if bad photometry (use it only for astrometry)                                                                                                         
#Column CommonName
recno ;Name          ;  _RAJ2000  ; _DEJ2000 ; RAJ1950   ; DEJ1950   ; Vmag   ; U-V    ; B-V    ; R-V    ; I-V    ; Doub; Var ;r_SpTy; SpType         ; Bad Phot (*); CommonName
   100;  HD 132058   ; 14 58 31.9; -43 07 59 ; 14 55 14.7; -42 56 01 ;    2.68;   -1.09;   -0.22;     0.1;    0.27;     ;     ; M    ; B2   IV        ;  ; BetaLupi
   101;  HD  31398   ; 04 56 59.5; +33 09 57 ; 04 53 43.9; +33 05 18 ;    2.69;    3.31;    1.53;   -1.06;   -1.88;     ;     ; Y    ; K3   II        ;  ; Hassaleh
   102;  HD  93497   ; 10 46 45.8; -49 25 10 ; 10 44 36.8; -49 09 20 ;    2.69;    1.47;     0.9;   -0.68;   -1.17; D   ;     ; M    ; G5   IIIa      ;  ; MuVelorum 
   103;  HD  56855   ; 07 17 08.5; -37 05 50 ; 07 15 22.5; -37 00 23 ;     2.7;    2.87;    1.62;   -1.24;   -2.15;     ;     ; M    ; K3   Ib        ;  ; PiPuppis
   104;  HD 186791   ; 19 46 15.5; +10 36 48 ; 19 43 52.9; +10 29 24 ;    2.72;    3.21;    1.51;   -1.07;   -1.85;     ;     ; Y    ; K3   II        ;  ; Tarazed 
   105;  HD 115892   ; 13 20 37.2; -36 42 40 ; 13 17 46.7; -36 26 57 ;    2.73;    0.04;    0.03;   -0.05;   -0.04;     ;     ; M    ; A2   V         ;  ; IotaCentauri 
   106;  HD 148387   ; 16 23 59.5; +61 30 47 ; 16 23 18.4; +61 37 36 ;    2.74;    1.61;    0.91;   -0.62;   -1.08; D   ;     ; Y    ; G8   IIIab     ;  ; EtaDraconis
   107;  HD 110379/0 ; 12 41 41.3; -01 26 57 ; 12 39 07.3; -01 10 30 ;    2.75;    0.33;    0.36;        ;        ; D   ;     ; Y    ; F0   V         ;* ; 
   108;  HD 130841   ; 14 50 52.9; -16 02 25 ; 14 48 06.3; -15 50 05 ;    2.75;    0.24;    0.15;   -0.14;   -0.18;     ;     ; Y    ; A3   IV        ;  ; Zubenelgenubi
   109;  HD 146051   ; 16 14 20.8; -03 41 31 ; 16 11 43.3; -03 34 00 ;    2.75;    3.55;    1.59;   -1.29;   -2.32;     ;     ; Y    ; M0.5 III       ;  ; YedPrior
   110;  HD  93030   ; 10 42 57.5; -64 23 39 ; 10 41 10.0; -64 07 54 ;    2.76;   -1.23;   -0.22;    0.11;    0.34;     ;     ; M    ; B0.5 V        p;* ; 
   111;  HD  37043   ; 05 35 25.9; -05 54 34 ; 05 32 59.1; -05 56 27 ;    2.77;   -1.32;   -0.24;        ;        ;     ;     ; Y    ; O9   III       ;  ; ThetaCarinae
   112;  HD 148856   ; 16 30 13.4; +21 29 22 ; 16 28 04.0; +21 35 49 ;    2.77;    1.62;    0.93;   -0.64;   -1.12;     ;     ; Y    ; G7   IIIa      ;  ; Kornephoros
   113;  HD 161096   ; 17 43 28.4; +04 33 54 ; 17 41 00.0; +04 35 12 ;    2.78;    2.42;    1.18;   -0.82;    -1.4;     ;     ; Y    ; K2   III       ;  ; Cebalrai
   114;  HD   2151   ; 00 25 11.7; -77 15 32 ; 00 23 09.4; -77 32 09 ;    2.79;    0.73;    0.62;   -0.51;   -0.85;     ; V   ; M    ; G1   IV        ;  ; BetaHydri
   115;  HD  33111   ; 05 07 51.2; -05 05 06 ; 05 05 23.3; -05 08 57 ;    2.79;    0.23;    0.13;   -0.14;   -0.22;     ;     ; Y    ; A3   III       ;  ; Cursa
   116;  HD 113226   ; 13 02 11.5; +10 57 30 ; 12 59 41.2; +11 13 37 ;    2.79;    1.66;    0.92;   -0.63;   -1.08;     ;     ; Y    ; G8   IIIab     ;  ; Vindemiatrix
   117;  HD  67523   ; 08 07 32.8; -24 18 16 ; 08 05 24.7; -24 09 31 ;    2.81;    0.62;    0.43;   -0.35;   -0.56;     ; V   ; M    ; F2-F5II       p;* ; RhoPuppis
   118;  HD 149438   ; 16 35 52.9; -28 12 55 ; 16 32 45.9; -28 06 49 ;    2.81;   -1.26;   -0.25;    0.12;    0.37;     ;     ; M    ; B0   V         ;  ; TauScorpii
   119;  HD 150680   ; 16 41 18.9; +31 35 49 ; 16 39 23.9; +31 41 30 ;    2.81;    0.86;    0.65;    -0.5;   -0.82; D   ;     ; Y    ; G0   IV        ;  ; ZetaHerculis
   120;  HD 159181   ; 17 30 25.9; +52 18 04 ; 17 29 17.9; +52 20 15 ;    2.81;    1.62;    0.98;   -0.69;   -1.17; D   ;     ; Y    ; G2   Ib/IIa    ;  ; Rastaban
   121;  HD 169916   ; 18 27 58.3; -25 25 08 ; 18 24 53.0; -25 27 03 ;    2.81;    1.94;    1.04;   -0.75;   -1.31;     ;     ; M    ; K1   IIIb      ;  ; KausBorealis
   122;  HD 211416   ; 22 18 30.5; -60 15 31 ; 22 15 05.6; -60 30 33 ;    2.82;    2.93;    1.36;   -1.06;    -1.8; D   ;     ; M    ; K3   III       ;  ; AlphaTucanae
   123;  HD 207098   ; 21 47 01.4; -16 07 22 ; 21 44 16.9; -16 21 17 ;    2.83;    0.39;    0.29;   -0.24;    -0.4;     ; V   ; M    ; A5MF2 (IV)     ;  ; DeltaCapricorni
   124;  HD    886   ; 00 13 14.1; +15 11 02 ; 00 10 39.4; +14 54 21 ;    2.84;   -1.09;   -0.23;     0.1;    0.29;     ; V   ; Y    ; B2   IV        ;  ; Algenib
   125;  HD  12311   ; 01 58 44.3; -61 34 13 ; 01 57 11.6; -61 48 45 ;    2.84;    0.49;    0.29;   -0.29;   -0.45;     ;     ; M    ; F0   V         ;  ; AlphaHydri
   126;  HD  36079   ; 05 28 14.6; -20 45 29 ; 05 26 06.0; -20 47 52 ;    2.84;    1.29;    0.82;   -0.65;   -1.09; D   ;     ; M    ; G5   II        ;  ; Nihal
   127;  HD  24398   ; 03 54 07.8; +31 53 00 ; 03 50 58.9; +31 44 11 ;    2.85;   -0.66;    0.12;   -0.14;   -0.23;    1;     ; Y    ; B1   Ib        ;  ; Menkib
   128;  HD 141891   ; 15 55 09.8; -63 25 29 ; 15 50 42.9; -63 16 41 ;    2.85;    0.34;    0.29;   -0.32;   -0.47;    1;     ; M    ; F0   III/IV    ;  ; BetaTrianguliAustralis
   129;  HD 157244   ; 17 25 18.0; -55 31 46 ; 17 21 08.3; -55 29 06 ;    2.85;    3.02;    1.46;        ;        ;     ;     ; M    ; K0.5 Ib        ;  ; 
   130;  HD  23630   ; 03 47 28.9; +24 06 20 ; 03 44 30.3; +23 57 07 ;    2.87;   -0.43;   -0.09;   -0.03;    0.01;     ;     ; Y    ; B7   III     e ;  ; Alcyone
   131;  HD  44478   ; 06 22 57.3; +22 30 53 ; 06 19 56.0; +22 32 27 ;    2.87;     3.5;    1.64;   -1.57;   -2.95;     ; V   ; Y    ; M3   IIIab     ;  ; Tejat
   132;  HD 186882   ; 19 44 58.2; +45 07 47 ; 19 43 24.6; +45 00 27 ;    2.87;   -0.12;   -0.02;    0.01;    0.03; D   ;     ; Y    ; B9.5 IV + F1 V ;  ; DeltaCygni
   133;  HD 112413   ; 12 56 02.6; +38 19 03 ; 12 53 41.5; +38 35 17 ;    2.88;   -0.44;   -0.12;     0.1;    0.17;     ;     ; Y    ; A0       SiEu p;  ; CorCaroli
   134;  HD 178524   ; 19 09 45.6; -21 01 22 ; 19 06 47.3; -21 06 16 ;    2.88;    0.58;    0.34;   -0.34;   -0.58; D   ;     ; M    ; F2   II/III    ;  ; Albaldah
   135;  HD  24760   ; 03 57 51.0; +40 00 37 ; 03 54 29.3; +39 52 01 ;    2.89;   -1.18;   -0.18;    0.07;    0.25; D   ;     ; Y    ; B0.5 V + A2 V  ;  ; EpsilonPersei
   136;  HD  58715   ; 07 27 09.1; +08 17 22 ; 07 24 26.3; +08 23 28 ;    2.89;   -0.37;   -0.09;    0.01;    0.07;     ; V   ; Y    ; B8   V       e ;  ; Gomeisa
   137;  HD 135382   ; 15 18 55.1; -68 40 44 ; 15 14 12.5; -68 29 48 ;    2.89;   -0.02;       0;        ;        ;     ; V   ; M    ; A0   IV        ;  ; 
   138;  HD 147165A  ; 16 21 11.3; -25 35 33 ; 16 18 08.7; -25 28 28 ;    2.89;   -0.57;    0.13;    -1.2;   -1.31;     ; V   ; M    ; O9.5 V + B1 III;* ; Alniyat
   139;  HD 204867   ; 21 31 33.4; -05 34 16 ; 21 28 55.6; -05 47 32 ;    2.89;    1.38;    0.82;    -0.6;   -1.05;     ;     ; Y    ; G0   Ib        ;  ; Sadalsuud
   140;  HD 143018   ; 15 58 51.1; -26 06 48 ; 15 55 49.3; -25 58 17 ;    2.91;   -1.09;    -0.2;    0.09;    0.29;    1;     ; M    ; B1   V + B2 V  ;  ; PiScorpii
   141;  HD  18925   ; 03 04 47.7; +53 30 22 ; 03 01 09.5; +53 18 43 ;    2.93;    1.15;     0.7;   -0.59;   -1.04;     ;     ; Y    ; G8   III + A2V ;  ; GammaPersei
   142;  HD  25025   ; 03 58 01.5; -13 30 24 ; 03 55 41.6; -13 38 57 ;    2.94;    3.58;     1.6;   -1.26;   -2.26;     ; V   ; M    ; M1   IIIbCA-1. ;  ; Zaurak
   143;  HD 108767   ; 12 29 52.5; -16 30 46 ; 12 27 16.3; -16 14 12 ;    2.94;   -0.14;   -0.05;    0.05;    0.09;    1;     ; M    ; B9.5 V         ;  ; Algorab
   144;  HD 209750   ; 22 05 46.9; -00 19 09 ; 22 03 12.9; -00 33 47 ;    2.94;    1.71;    0.96;   -0.67;   -1.18;     ;     ; Y    ; G2   Ib        ;  ; Sadalmeilk
   145;  HD 158427   ; 17 31 50.6; -49 52 29 ; 17 27 58.3; -49 50 18 ;    2.95;   -0.86;   -0.17;     0.1;    0.34;    1;     ; M    ; B2   V      ne ;  ; AlphaArae
   146;  HD 215182   ; 22 43 00.0; +30 13 17 ; 22 40 39.2; +29 57 32 ;    2.95;    1.43;    0.86;   -0.64;   -1.12;     ;     ; Y    ; G2   II/III+F0 ;  ; Matar
   147;  HD  48329   ; 06 43 55.9; +25 07 51 ; 06 40 51.3; +25 10 55 ;    2.98;    2.87;    1.41;   -0.97;   -1.58;    1;     ; Y    ; G8   Ib        ;  ; Mebsuta
   148;  HD  84441   ; 09 45 51.1; +23 46 26 ; 09 43 00.9; +24 00 18 ;    2.98;    1.25;    0.81;   -0.62;   -1.05;     ;     ; Y    ; G1   II        ;  ; RasElased
   149;  HD 105707   ; 12 10 07.7; -22 37 11 ; 12 07 32.9; -22 20 29 ;    2.98;    2.81;    1.34;   -0.93;   -1.57;     ;     ; M    ; K2   III       ;  ; Minkar
   150;  HD  31964   ; 05 01 58.0; +43 49 22 ; 04 58 22.4; +43 45 03 ;    2.99;    0.87;    0.54;   -0.52;   -0.97;    1; V   ; Y    ; F0   Ia  + B e ;  ; AlAnz
   151;  HD 165135   ; 18 05 48.7; -30 25 18 ; 18 02 35.7; -30 25 36 ;    2.99;    1.78;    1.01;   -0.73;   -1.24;     ;     ; M    ; K0   III       ;  ; Nash
   152;  HD 177724   ; 19 05 24.5; +13 51 52 ; 19 03 06.6; +13 47 15 ;    2.99;       0;    0.01;   -0.01;   -0.01; D   ;     ; Y    ; A0   V      n  ;  ; Denebel
   153;  HD  13161   ; 02 09 31.9; +34 59 15 ; 02 06 33.5; +34 45 05 ;       3;    0.26;    0.14;   -0.14;   -0.22;     ;     ; Y    ; A5   III       ;  ;
   154;  HD 115659   ; 13 18 54.9; -23 10 13 ; 13 16 11.7; -22 54 28 ;       3;    1.58;    0.92;    -0.6;   -1.07;     ;     ; M    ; G8   III       ;  ;
   155;  HD  22928   ; 03 42 55.3; +47 47 16 ; 03 39 21.2; +47 37 45 ;    3.01;   -0.63;   -0.12;   -0.02;    0.09;     ; V   ; Y    ; B5   III     e ;  ;
   156;  HD  96833   ; 11 09 40.0; +44 29 55 ; 11 06 51.5; +44 46 12 ;    3.01;    2.26;    1.14;   -0.83;    -1.4;     ;     ; Y    ; K1   III       ;  ;
   157;  HD 207971   ; 21 53 55.1; -37 21 51 ; 21 50 54.3; -37 36 02 ;    3.01;   -0.49;   -0.12;    0.05;    0.11;     ;     ; M    ; B8   III       ;  ;
   158;  HD  53138   ; 07 03 01.4; -23 49 59 ; 07 00 56.1; -23 45 31 ;    3.02;   -0.88;   -0.08;   -0.01;    0.08;     ; V   ; M    ; B3   Ia        ;  ;
   159;  HD 127762   ; 14 32 05.0; +38 18 21 ; 14 30 03.7; +38 31 33 ;    3.02;    0.31;    0.19;   -0.14;   -0.22;     ; V   ; Y    ; A7   III       ;  ;
   160;  HD  37202   ; 05 37 38.6; +21 08 33 ; 05 34 39.2; +21 06 49 ;    3.03;   -0.81;   -0.19;    0.03;    0.12; D   ; V   ; Y    ; B4   III     ep;  ;
   161;  HD  14386   ; 02 19 20.7; -02 58 26 ; 02 16 49.0; -03 12 12 ;    3.05;    2.53;    1.42;   -2.01;   -3.93; D   ; V   ; Y    ; M7   III + B ep;  ;
   162;  HD  89758   ; 10 22 20.0; +41 29 55 ; 10 19 21.4; +41 45 05 ;    3.05;    3.48;    1.59;   -1.29;   -2.25;     ;     ; Y    ; M0   III       ;  ;
   163;  HD 156014   ; 17 14 38.8; +14 23 22 ; 17 12 21.9; +14 26 44 ;    3.06;    2.46;    1.45;    -2.1;   -4.24; D   ; V   ; Y    ; M5   Ib/II     ;  ;
   164;  HD 180711   ; 19 12 32.2; +67 39 35 ; 19 12 32.7; +67 34 23 ;    3.07;    1.78;       1;    -0.7;   -1.21;     ;     ; Y    ; G9   III       ;  ;
   165;  HD 183912   ; 19 30 43.2; +27 57 33 ; 19 28 42.2; +27 51 11 ;    3.08;    1.75;    1.13;   -0.87;   -1.53;    1;     ; Y    ; K3   II + B9.5V;  ;
   166;  HD 193495   ; 20 21 00.4; -14 46 52 ; 20 18 12.1; -14 56 25 ;    3.08;    1.06;    0.79;   -0.55;   -1.05; D   ;     ; M    ; K0  :II: +A5:n ;  ;
   167;  HD  76294   ; 08 55 23.9; +05 56 41 ; 08 52 45.0; +06 08 11 ;     3.1;    1.82;       1;   -0.71;    -1.2;     ;     ; Y    ; G9   II/III    ;  ;
   168;  HD  93813   ; 10 49 37.1; -16 11 46 ; 10 47 09.3; -15 55 52 ;    3.11;    2.51;    1.24;   -0.94;   -1.58;     ;     ; M    ; K0.5 III       ;  ;
   169;  HD 167618   ; 18 17 38.1; -36 45 34 ; 18 14 14.6; -36 46 44 ;    3.11;    3.26;    1.56;   -1.56;   -2.88; D   ; V   ; M    ; M2   III       ;  ;
   170;  HD 196171   ; 20 37 33.6; -47 17 32 ; 20 34 03.4; -47 28 02 ;    3.11;    1.79;       1;        ;        ;     ;     ; M    ; K0   III CNIII ;  ;
   171;  HD  39425   ; 05 50 57.3; -35 46 25 ; 05 49 11.7; -35 47 08 ;    3.12;    2.37;    1.16;   -0.85;   -1.43;     ;     ; M    ; K1.5 III       ;  ;
   172;  HD 156164   ; 17 15 01.9; +24 50 27 ; 17 12 58.5; +24 53 47 ;    3.13;    0.16;    0.08;   -0.05;   -0.08;     ;     ; Y    ; A3   IV        ;  ;
   173;  HD  76644   ; 08 59 14.6; +48 02 40 ; 08 55 47.6; +48 14 21 ;    3.14;    0.26;    0.19;   -0.22;   -0.29;     ;     ; Y    ; A7   IV        ;  ;
   174;  HD  80493   ; 09 21 04.0; +34 23 31 ; 09 18 00.7; +34 36 17 ;    3.14;    3.49;    1.55;   -1.23;   -2.13;     ;     ; Y    ; K7   IIIab     ;  ;
   175;  HD 100841   ; 11 35 47.0; -63 01 09 ; 11 33 27.7; -62 44 33 ;    3.14;   -0.18;   -0.04;   -0.04;   -0.03;    1;     ; M    ; B9   III       ;  ;
   176;  HD  47670   ; 06 37 45.7; -43 11 46 ; 06 36 13.8; -43 09 05 ;    3.17;   -0.52;   -0.11;       0;    0.07;     ;     ; M    ; B8   III       ;  ;
   177;  HD 155763   ; 17 08 47.2; +65 42 51 ; 17 08 38.1; +65 46 33 ;    3.17;   -0.54;   -0.11;    0.06;    0.18;     ;     ; Y    ; B6   III       ;  ;
   178;  HD  30652   ; 04 49 48.7; +06 57 39 ; 04 47 07.3; +06 52 31 ;    3.18;    0.44;    0.45;   -0.41;   -0.67;     ;     ; Y    ; F6   V         ;  ;
   179;  HD  32630   ; 05 06 30.7; +41 14 06 ; 05 03 00.2; +41 10 07 ;    3.18;   -0.85;   -0.18;    0.05;    0.22;     ;     ; Y    ; B3   V         ;  ;
   180;  HD  32887   ; 05 05 27.5; -22 22 10 ; 05 03 20.5; -22 26 11 ;    3.18;    3.23;    1.46;    -1.1;   -1.91;     ;     ; M    ; K4   III       ;  ;
   181;  HD  82328   ; 09 32 56.4; +51 41 03 ; 09 29 31.4; +51 54 21 ;    3.18;    0.49;    0.46;   -0.44;   -0.71; D   ;     ; Y    ; F6   IV        ;  ;
   182;  HD 156283   ; 17 15 02.9; +36 48 31 ; 17 13 18.2; +36 51 50 ;    3.18;     3.1;    1.43;   -0.96;   -1.69;     ;     ; Y    ; K3   IIab      ;  ;
   183;  HD 128898   ; 14 42 31.8; -64 58 17 ; 14 38 26.3; -64 45 31 ;    3.19;    0.36;    0.24;   -0.23;   -0.33; D   ; V   ; M    ; A     SrEu(Cr)p;  ;
   184;  HD 153210   ; 16 57 41.0; +09 22 29 ; 16 55 17.9; +09 27 03 ;     3.2;    2.32;    1.16;   -0.84;   -1.38;     ;     ; Y    ; K2   III       ;  ;
   185;  HD 133216   ; 15 04 04.4; -25 16 53 ; 15 01 08.2; -25 05 12 ;    3.21;    3.65;     1.7;   -1.61;   -2.88;     ; V   ; M    ; M3.5 III       ;  ;
   186;  HD 161892   ; 17 49 51.2; -37 02 37 ; 17 46 27.1; -37 01 45 ;    3.21;    2.36;    1.17;        ;        ;     ;     ; M    ; K1   III       ;  ;
   187;  HD 202109   ; 21 12 56.1; +30 13 38 ; 21 10 48.3; +30 01 14 ;    3.21;    1.75;    0.99;   -0.69;   -1.17;     ;     ; Y    ; G8   III/IIIaBa;  ;
   188;  HD 191692   ; 20 11 18.1; -00 49 17 ; 20 08 43.5; -00 58 16 ;    3.22;   -0.19;   -0.07;    0.07;    0.11;     ;     ; Y    ; B9.5 III       ;  ;
   189;  HD 146791   ; 16 18 18.9; -04 41 33 ; 16 15 40.3; -04 34 18 ;    3.23;    1.72;    0.98;   -0.69;   -1.18;     ;     ; Y    ; G9.5 IIIbFe-0  ;  ;
   190;  HD 205021   ; 21 28 39.4; +70 33 37 ; 21 28 01.3; +70 20 26 ;    3.23;   -1.18;   -0.22;     0.1;    0.32; D   ; V   ; Y    ; B1   IV        ;  ;
   191;  HD 176437   ; 18 58 56.6; +32 41 21 ; 18 57 04.3; +32 37 10 ;    3.24;   -0.13;   -0.05;    0.03;    0.04;     ;     ; Y    ; B9   III       ;  ;
   192;  HD  59717   ; 07 29 14.0; -43 18 13 ; 07 27 38.5; -43 11 56 ;    3.25;    3.29;    1.52;   -1.21;   -2.13;    1;     ; M    ; K5   III       ;  ;
   193;  HD 168723   ; 18 21 20.3; -02 53 20 ; 18 18 43.2; -02 54 47 ;    3.25;    1.59;    0.94;    -0.7;    -1.2;     ;     ; Y    ; K0   III/IV    ;  ;
   194;  HD  24512   ; 03 47 13.8; -74 14 25 ; 03 47 59.4; -74 23 32 ;    3.26;    3.61;    1.62;   -1.34;   -2.44;     ;     ; M    ; M1   III       ;  ;
   195;  HD 157056   ; 17 22 00.5; -24 59 55 ; 17 18 56.1; -24 57 03 ;    3.26;   -1.08;   -0.23;    0.12;    0.32;     ; V   ; M    ; B2   IV        ;  ;
   196;  HD  91465   ; 10 32 01.5; -61 41 06 ; 10 30 14.4; -61 25 38 ;    3.27;   -0.81;   -0.09;   -0.05;    0.01;     ; V   ; M    ; B4   V      ne ;  ;
   197;  HD   3627   ; 00 39 19.0; +30 51 43 ; 00 36 38.7; +30 35 14 ;    3.28;    2.76;    1.28;   -0.92;   -1.58;    1;     ; Y    ; K3   III       ;  ;
   198;  HD  29305   ; 04 33 59.4; -55 02 40 ; 04 32 54.7; -55 08 50 ;    3.28;   -0.45;    -0.1;    0.01;     0.1; D   ; V   ; M    ; A0   III      p;  ;
   199;  HD  42995   ; 06 14 52.8; +22 30 23 ; 06 11 51.4; +22 31 21 ;    3.28;    3.27;    1.61;   -1.49;    -2.8; D   ; V   ; Y    ; M3   III       ;  ;
   200;  HD 123123   ; 14 06 22.0; -26 40 48 ; 14 03 31.0; -26 26 31 ;    3.28;    2.17;    1.13;   -0.88;   -1.43;     ;     ; M    ; K2   III       ;  ;
   201;  HD 216627   ; 22 54 39.1; -15 49 14 ; 22 51 59.9; -16 05 14 ;    3.28;    0.13;    0.05;   -0.07;   -0.11;     ;     ; M    ; A3   V         ;  ;
   202;  HD  33904   ; 05 12 55.6; -16 12 17 ; 05 10 40.9; -16 15 46 ;    3.29;   -0.51;   -0.11;    0.01;    0.13;     ; V   ; M    ; B9   IV: HgMn  ;  ;
   203;  HD 137759   ; 15 24 55.6; +58 57 57 ; 15 23 48.6; +59 08 26 ;    3.29;    2.39;    1.16;   -0.78;   -1.38;     ;     ; Y    ; K2   III       ;  ;
   204;  HD   6595   ; 01 06 05.1; -46 43 06 ; 01 03 51.3; -46 59 08 ;     3.3;    1.45;    0.89;   -0.71;   -1.22; D   ;     ; M    ; G8   III       ;  ;
   205;  HD  63700   ; 07 49 17.5; -24 51 33 ; 07 47 11.3; -24 43 57 ;     3.3;    2.42;    1.26;   -0.87;   -1.42; D   ;     ; M    ; G6   Ia        ;  ;
   206;  HD 106591   ; 12 15 24.8; +57 01 55 ; 12 12 57.5; +57 18 35 ;    3.31;    0.15;    0.08;   -0.06;   -0.06;     ;     ; Y    ; A3   V         ;  ;
   207;  HD 177716   ; 19 06 56.5; -27 40 00 ; 19 03 49.1; -27 44 42 ;    3.31;    2.34;     1.2;   -0.87;   -1.46;     ;     ; M    ; K1   III       ;  ;
   208;  HD  89080   ; 10 13 44.6; -70 02 15 ; 10 12 33.0; -69 47 20 ;    3.33;   -0.41;   -0.08;   -0.04;   -0.01;     ;     ; M    ; B8   III       ;  ;
   209;  HD 155203   ; 17 12 08.9; -43 14 05 ; 17 08 33.9; -43 10 30 ;    3.33;     0.5;    0.41;   -0.36;   -0.56;     ;     ; M    ; F2   V         ;  ;
   210;  HD 157246AB ; 17 25 23.5; -56 22 38 ; 17 21 10.7; -56 19 58 ;    3.34;   -1.09;   -0.13;        ;        ;     ;     ; M    ; B1   Ib        ;  ;
   211;  HD 157246A  ; 17 25 23.6; -56 22 38 ; 17 21 10.8; -56 19 58 ;    3.34;   -1.09;   -0.13;        ;        ;     ;     ; M    ; B1   Ib        ;  ;
   212;  HD 163917   ; 17 59 01.5; -09 46 19 ; 17 56 16.3; -09 46 09 ;    3.34;    1.86;    0.99;    -0.7;   -1.18;     ;     ; Y    ; K0   IIIaCN-1  ;  ;
   213;  HD  35411   ; 05 24 28.5; -02 23 47 ; 05 21 57.6; -02 26 27 ;    3.35;    -1.1;   -0.17;    0.09;     0.3; D   ; V   ; Y    ; B1   V + B2  e ;  ;
   214;  HD  97633   ; 11 14 14.5; +15 25 49 ; 11 11 37.0; +15 42 10 ;    3.35;    0.05;   -0.02;   -0.03;   -0.01;     ;     ; Y    ; A2   V         ;  ;
   215;  HD 210745   ; 22 10 51.1; +58 12 03 ; 22 09 06.9; +57 57 14 ;    3.35;    3.27;    1.55;   -1.08;   -1.86;     ;     ; Y    ; K1.5 Ib        ;  ;
   216;  HD  27256   ; 04 14 25.2; -62 28 27 ; 04 13 46.5; -62 35 54 ;    3.36;    1.54;    0.91;   -0.65;   -1.09;     ;     ; M    ; G6   II/III    ;  ;
   217;  HD  48737   ; 06 45 17.7; +12 53 52 ; 06 42 28.9; +12 57 03 ;    3.36;    0.49;    0.43;   -0.39;   -0.62;     ;     ; Y    ; F5   III       ;  ;
   218;  HD 182640   ; 19 25 28.9; +03 06 48 ; 19 22 58.5; +03 00 48 ;    3.36;    0.36;    0.32;   -0.25;   -0.41;     ;     ; Y    ; F3   IV        ;  ;
   219;  HD  11415   ; 01 54 23.4; +63 40 13 ; 01 50 46.3; +63 25 29 ;    3.37;   -0.76;   -0.15;    0.03;    0.15;     ;     ; Y    ; B3   III       ;  ;
   220;  HD  74874   ; 08 46 47.0; +06 25 06 ; 08 44 07.6; +06 36 08 ;    3.38;    1.05;    0.68;    -0.6;   -0.99; D   ;     ; Y    ; G5   III       ;  ;
